3	7	4	6	
7	5	9	0	
9	1	6	4	
4	7	3	2	
9	3	8	2	
8	3	6	4	
8	6	4	9	
1	6	4	0	
9	1	0	2	
5	3	1	0	
4	8	0	3	
9	0	7	5	
5	7	1	6	
4	0	3	2	
4	3	2	6	
1	5	7	0	
8	6	5	7	
8	0	9	7	
8	4	3	2	
6	7	2	0	
8	1	2	3	
8	4	6	1	
9	8	1	0	
9	5	2	1	
1	2	7	6	
4	5	9	6	
4	7	6	9	
1	5	3	6	
4	2	0	5	
7	3	1	2	
6	4	7	1	
4	5	2	3	
8	4	6	2	
8	3	5	6	
7	1	5	3	
7	2	6	1	
2	6	5	7	
2	6	9	7	
8	3	0	6	
9	5	3	0	
9	3	4	2	
3	7	4	1	
7	0	6	8	
9	7	8	4	
4	1	2	3	
8	9	7	2	
2	6	4	9	
5	2	3	0	
8	0	2	6	
2	8	7	9	
14	18	10	12	
16	12	14	15	
14	15	11	12	
11	12	16	18	
15	16	12	19	
14	13	16	18	
14	15	13	18	
14	11	12	13	
15	13	16	19	
11	13	16	12	
18	14	12	13	
15	12	11	13	
14	16	19	18	
12	10	16	18	
11	15	16	13	
11	19	10	12	
15	10	16	19	
14	18	16	19	
11	12	18	17	
11	14	17	15	
10	19	18	17	
13	18	16	11	
17	13	19	12	
16	10	18	15	
12	19	10	17	
14	10	17	16	
18	10	11	13	
15	13	14	19	
11	14	15	19	
16	11	17	13	
12	19	11	10	
13	11	18	10	
10	13	17	12	
16	12	13	17	
11	14	19	17	
11	10	19	14	
14	13	10	15	
16	14	11	13	
11	18	15	17	
16	11	10	12	
14	10	19	11	
19	13	17	11	
14	16	13	12	
14	17	13	16	
14	15	18	17	
10	13	18	17	
14	16	15	13	
10	12	16	15	
10	18	16	17	
16	13	12	19	
26	23	21	25	
20	28	24	29	
28	26	24	20	
25	20	24	23	
25	26	23	21	
21	28	25	22	
29	28	23	21	
26	23	25	28	
24	29	23	26	
26	20	25	22	
24	21	26	28	
20	25	28	23	
25	24	21	23	
29	28	24	20	
24	21	29	27	
25	29	24	28	
20	29	28	26	
25	28	22	26	
29	26	27	28	
25	24	27	20	
24	27	28	23	
21	26	20	27	
25	27	24	28	
28	26	21	29	
27	25	28	22	
20	21	24	28	
27	20	21	26	
27	29	21	22	
27	20	28	29	
24	20	21	26	
26	21	24	27	
25	26	28	20	
26	23	22	21	
25	27	20	26	
28	26	23	24	
26	27	22	29	
21	26	29	27	
26	21	20	28	
28	20	22	21	
24	29	22	26	
20	26	21	28	
22	26	20	27	
26	24	22	21	
23	25	21	20	
27	26	21	22	
28	23	21	26	
27	26	28	29	
28	26	20	24	
28	23	24	21	
26	20	22	23	
26	21	24	27	
38	33	34	37	
39	36	33	37	
37	32	39	34	
32	35	36	31	
30	38	37	39	
32	37	35	33	
30	37	35	36	
37	31	30	38	
30	33	37	32	
32	37	34	35	
32	39	34	35	
37	38	36	30	
35	36	34	31	
34	32	37	38	
30	36	39	34	
37	32	35	33	
30	36	37	34	
39	38	30	33	
30	33	39	37	
31	36	37	34	
30	36	38	33	
38	39	31	34	
32	30	38	34	
30	39	32	35	
31	32	36	33	
38	36	31	37	
37	38	34	30	
39	30	32	35	
39	32	38	34	
38	30	36	31	
39	35	30	32	
32	37	31	33	
39	36	32	30	
38	39	34	33	
31	32	36	33	
37	30	35	39	
31	36	32	30	
30	32	38	35	
39	34	31	37	
37	35	32	33	
38	35	34	33	
39	36	30	32	
32	35	34	38	
38	36	34	35	
30	35	33	31	
39	32	36	33	
38	31	35	36	
38	33	32	39	
36	30	35	33	
38	39	33	37	
41	45	47	44	
48	47	42	41	
48	49	47	45	
40	43	47	48	
42	49	45	43	
46	41	47	40	
42	48	45	43	
46	41	45	44	
42	44	41	46	
47	42	44	46	
41	40	46	43	
48	49	46	42	
48	41	46	40	
48	42	49	44	
44	47	49	45	
44	46	49	43	
48	49	41	40	
48	41	40	43	
47	48	45	41	
49	40	44	45	
49	43	45	46	
46	41	40	47	
46	49	48	42	
49	46	40	42	
49	48	45	47	
48	41	49	40	
41	44	47	42	
49	45	40	43	
40	46	43	42	
46	41	44	45	
47	46	44	42	
46	44	41	42	
48	49	41	44	
46	48	45	41	
42	48	46	41	
48	47	40	45	
44	41	45	40	
46	41	44	43	
48	49	40	46	
40	43	42	46	
48	40	43	46	
47	49	46	48	
41	44	48	46	
49	40	42	43	
